// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	       794	       738
       100	     10000	      1815	       343
      1000	     10000	       177	       445
        10	     20000	       213	       781
       100	     20000	       247	       421
      1000	     20000	       221	       333
     10000	     20000	       419	       612
        10	     30000	       283	       288
       100	     30000	       288	       279
      1000	     30000	       297	       377
     10000	     30000	       404	       814
        10	     40000	       596	       430
       100	     40000	       566	       374
      1000	     40000	       530	       548
     10000	     40000	       461	       610
        10	     50000	       709	       518
       100	     50000	       535	       512
      1000	     50000	       514	       571
     10000	     50000	       608	       729
        10	     60000	       610	       568
       100	     60000	       626	       572
      1000	     60000	       631	       588
     10000	     60000	       639	       696
        10	     70000	      1118	       805
       100	     70000	       705	       847
      1000	     70000	       740	       806
     10000	     70000	      1012	       962
        10	     80000	      1281	       759
       100	     80000	       950	       880
      1000	     80000	      1198	       840
     10000	     80000	      1233	       933
        10	     90000	       952	      1040
       100	     90000	       986	       872
      1000	     90000	       999	       922
     10000	     90000	       951	       899
        10	    100000	       983	      1040
       100	    100000	      1032	       989
      1000	    100000	       963	       997
     10000	    100000	       974	      1211
        10	    110000	      1328	      1059
       100	    110000	      1307	      1247
      1000	    110000	      1104	      1225
     10000	    110000	      1349	      1045
        10	    120000	      1172	      1087
       100	    120000	      1223	      1120
      1000	    120000	      1157	      1312
     10000	    120000	      1247	      1498
        10	    130000	      1280	      1803
       100	    130000	      1310	      1266
      1000	    130000	      1465	      1325
     10000	    130000	      1771	      1506
        10	    140000	      1673	      1357
       100	    140000	      1399	      1309
      1000	    140000	      1371	      1419
     10000	    140000	      1554	      1340
        10	    150000	      1486	      1466
       100	    150000	      1524	      1553
      1000	    150000	      1606	      1501
     10000	    150000	      2608	      1465
        10	    160000	      2250	      1568
       100	    160000	      1670	      1792
      1000	    160000	      1537	      1570
     10000	    160000	      1595	      1912
        10	    170000	      1661	      1659
       100	    170000	      1996	      1979
      1000	    170000	      1761	      2736
     10000	    170000	      2383	      2641
        10	    180000	      1908	      1735
       100	    180000	      1779	      1972
      1000	    180000	      1806	      1999
     10000	    180000	      2209	      1690
        10	    190000	      1888	      1810
       100	    190000	      1919	      1843
      1000	    190000	      1837	      1891
     10000	    190000	      2451	      1669
        10	    200000	      2032	      1986
       100	    200000	      2092	      1938
      1000	    200000	      2404	      1859
     10000	    200000	      2743	      2355
    100000	    200000	      2586	      2206
        10	    210000	      2267	      2111
       100	    210000	      2022	      2033
      1000	    210000	      3345	      2208
     10000	    210000	      2162	      1958
    100000	    210000	      2440	      3803
        10	    220000	      2323	      2075
       100	    220000	      2071	      2143
      1000	    220000	      2180	      2150
     10000	    220000	      2468	      1858
    100000	    220000	      2497	      1951
        10	    230000	      2320	      2171
       100	    230000	      2231	      2175
      1000	    230000	      2384	      2321
     10000	    230000	      2449	      2030
    100000	    230000	      2931	      3639
        10	    240000	      3134	      2267
       100	    240000	      2344	      2289
      1000	    240000	      2885	      2345
     10000	    240000	      3608	      2144
    100000	    240000	      2823	      2068
        10	    250000	      2609	      2317
       100	    250000	      2364	      2337
      1000	    250000	      2397	      2317
     10000	    250000	      2423	      2297
    100000	    250000	      2865	      2369
        10	    260000	      2501	      2722
       100	    260000	      2450	      2411
      1000	    260000	      2514	      2395
     10000	    260000	      2699	      2367
    100000	    260000	      3987	      2184
        10	    270000	      2713	      2744
       100	    270000	      2668	      2644
      1000	    270000	      2665	      2665
     10000	    270000	      2693	      2482
    100000	    270000	      3115	      3669
        10	    280000	      2690	      3674
       100	    280000	      2679	      2819
      1000	    280000	      3397	      3108
     10000	    280000	      4695	      2408
    100000	    280000	      3877	      2315
        10	    290000	      2836	      2709
       100	    290000	      2730	      2689
      1000	    290000	     11441	      2641
     10000	    290000	      5060	      2391
    100000	    290000	      3251	      2256
        10	    300000	      7705	      2813
       100	    300000	      2788	      2748
